,UF,Nome_UF,Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Código Município Completo,Nome_Município
0,11,Rondônia,1101,Porto Velho,110001,Porto Velho,1,Madeira-Guaporé,1,Porto Velho,809,1100809,Candeias do Jamari
1,11,Rondônia,1101,Porto Velho,110001,Porto Velho,1,Madeira-Guaporé,1,Porto Velho,1104,1101104,Itapuã do Oeste
2,11,Rondônia,1101,Porto Velho,110001,Porto Velho,1,Madeira-Guaporé,1,Porto Velho,338,1100338,Nova Mamoré
3,11,Rondônia,1101,Porto Velho,110001,Porto Velho,1,Madeira-Guaporé,1,Porto Velho,205,1100205,Porto Velho
4,11,Rondônia,1101,Porto Velho,110001,Porto Velho,1,Madeira-Guaporé,2,Guajará-Mirim,106,1100106,Guajará-Mirim
5,11,Rondônia,1101,Porto Velho,110002,Ariquemes,1,Madeira-Guaporé,1,Porto Velho,452,1100452,Buritis
6,11,Rondônia,1101,Porto Velho,110002,Ariquemes,1,Madeira-Guaporé,1,Porto Velho,700,1100700,Campo Novo de Rondônia
7,11,Rondônia,1101,Porto Velho,110002,Ariquemes,1,Madeira-Guaporé,1,Porto Velho,940,1100940,Cujubim
8,11,Rondônia,1101,Porto Velho,110002,Ariquemes,2,Leste Rondoniense,3,Ariquemes,403,1100403,Alto Paraíso
9,11,Rondônia,1101,Porto Velho,110002,Ariquemes,2,Leste Rondoniense,3,Ariquemes,23,1100023,Ariquemes
10,11,Rondônia,1101,Porto Velho,110002,Ariquemes,2,Leste Rondoniense,3,Ariquemes,601,1100601,Cacaulândia
11,11,Rondônia,1101,Porto Velho,110002,Ariquemes,2,Leste Rondoniense,3,Ariquemes,1401,1101401,Monte Negro
12,11,Rondônia,1101,Porto Velho,110002,Ariquemes,2,Leste Rondoniense,3,Ariquemes,262,1100262,Rio Crespo
13,11,Rondônia,1101,Porto Velho,110003,Jaru,2,Leste Rondoniense,3,Ariquemes,130,1100130,Machadinho D'Oeste
14,11,Rondônia,1101,Porto Velho,110003,Jaru,2,Leste Rondoniense,3,Ariquemes,1757,1101757,Vale do Anari
15,11,Rondônia,1101,Porto Velho,110003,Jaru,2,Leste Rondoniense,4,Ji-Paraná,1005,1101005,Governador Jorge Teixeira
16,11,Rondônia,1101,Porto Velho,110003,Jaru,2,Leste Rondoniense,4,Ji-Paraná,114,1100114,Jaru
17,11,Rondônia,1101,Porto Velho,110003,Jaru,2,Leste Rondoniense,4,Ji-Paraná,1609,1101609,Theobroma
18,11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,1,Madeira-Guaporé,2,Guajará-Mirim,80,1100080,Costa Marques
19,11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,1,Madeira-Guaporé,2,Guajará-Mirim,1492,1101492,São Francisco do Guaporé
20,11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,2,Leste Rondoniense,4,Ji-Paraná,122,1100122,Ji-Paraná
21,11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,2,Leste Rondoniense,4,Ji-Paraná,1302,1101302,Mirante da Serra
22,11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,2,Leste Rondoniense,4,Ji-Paraná,1435,1101435,Nova União
23,11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,2,Leste Rondoniense,4,Ji-Paraná,155,1100155,Ouro Preto do Oeste
24,11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,2,Leste Rondoniense,4,Ji-Paraná,254,1100254,Presidente Médici
25,11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,2,Leste Rondoniense,4,Ji-Paraná,1559,1101559,Teixeirópolis
26,11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,2,Leste Rondoniense,4,Ji-Paraná,1708,1101708,Urupá
27,11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,2,Leste Rondoniense,4,Ji-Paraná,1807,1101807,Vale do Paraíso
28,11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,2,Leste Rondoniense,5,Alvorada D'Oeste,346,1100346,Alvorada D'Oeste
