,SUBCAT,DESCRICAO
0,A000,"Cólera devida a Vibrio cholerae 01, biótipo cholerae"
1,A001,"Cólera devida a Vibrio cholerae 01, biótipo El Tor"
2,A009,Cólera não especificada
3,A010,Febre tifóide
4,A011,Febre paratifóide A
5,A012,Febre paratifóide B
6,A013,Febre paratifóide C
7,A014,Febre paratifóide não especificada
8,A020,Enterite por salmonela
9,A021,Septicemia por salmonela
10,A022,Infecções localizadas por salmonela
11,A028,Outras infecções especificadas por salmonela
12,A029,Infecção não especificada por salmonela
13,A030,Shiguelose devida a Shigella dysenteriae
14,A031,Shiguelose devida a Shigella flexneri
15,A032,Shiguelose devida a Shigella boydii
16,A033,Shiguelose devida a Shigella sonnei
17,A038,Outras shigueloses
18,A039,Shiguelose não especificada
19,A040,Infecção por Escherichia coli enteropatogênica
20,A041,Infecção por Escherichia coli enterotoxigênica
21,A042,Infecção por Escherichia coli enteroinvasiva
22,A043,Infecção por Escherichia coli enterohemorrágica
23,A044,Outras infecções intestinais por Escherichia coli
24,A045,Enterite por Campylobacter
25,A046,Enterite devida a Yersinia enterocolítica
26,A047,Enterocolite devida a Clostridium difficile
27,A048,Outras infecções bacterianas intestinais especificadas
28,A049,Infecção intestinal bacteriana não especificada
29,A050,Intoxicação alimentar estafilocócica
30,A051,Botulismo
31,A052,Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii]
32,A053,Intoxicação alimentar devida a Vibrio parahemolyticus
33,A054,Intoxicação alimentar devida a Bacillus cereus
34,A058,Outras intoxicações alimentares bacterianas especificadas
35,A059,Intoxicação alimentar bacteriana não especificada
36,A060,Disenteria amebiana aguda
37,A061,Amebíase intestinal crônica
38,A062,Colite amebiana não-disentérica
39,A063,Ameboma intestinal
40,A064,Abscesso amebiano do fígado
41,A065,Abscesso amebiano do pulmão
42,A066,Abscesso amebiano do cérebro
43,A067,Amebíase cutânea
44,A068,Infecção amebiana de outras localizações
45,A069,Amebíase não especificada
46,A070,Balantidíase
47,A071,Giardíase [lamblíase]
48,A072,Criptosporidiose
49,A073,Isosporíase
50,A078,Outras doenças intestinais especificadas por protozoários
51,A079,Doença intestinal não especificada por protozoários
52,A080,Enterite por rotavírus
53,A081,Gastroenteropatia aguda pelo agente de Norwalk
54,A082,Enterite por adenovírus
55,A083,Outras enterites virais
56,A084,Infecção intestinal devida a vírus não especificado
57,A085,Outras infecções intestinais especificadas
58,A09,Diarréia e gastroenterite de origem infecciosa presumível
59,A150,"Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura"
60,A151,"Tuberculose pulmonar, com confirmação somente por cultura"
61,A152,"Tuberculose pulmonar, com confirmação histológica"
62,A153,"Tuberculose pulmonar, com confirmação por meio não especificado"
63,A154,"Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica"
64,A155,"Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica"
65,A156,"Pleuris tuberculoso, com confirmação bacteriológica e histológica"
66,A157,"Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica"
67,A158,"Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica"
68,A159,"Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica"
69,A160,Tuberculose pulmonar com exames bacteriológico e histológico negativos
70,A161,"Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico"
71,A162,"Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica"
