code,name
010,BRASIL
020,RESERVADO
021,ARGENTINA
022,BOLIVIA
023,CHILE
024,PARAGUAI
025,URUGUAI
026,COLOMBIA
027,EQUADOR
028,ANTIGUA E. DEP. BARBUDA
029,ANTILHAS HOLANDESAS
030,ALEMANHA
031,BELGICA
032,GRA-BRETANHA
033,ARUBA
034,CANADA
035,ESPANHA
036,ESTADOS UNIDOS DA AMERICA (EUA)
037,FRANCA
038,SUICA
039,ITALIA
040,COMUNIDADE DAS BAHAMAS
041,JAPAO
042,CHINA
043,COREIA
044,BARBADOS
045,PORTUGAL
046,BELIZE
047,ILHAS TURKS E CAICOS
048,RESERVADO
049,RESERVADO
050,RESERVADO
051,COSTA RICA
052,CUBA
053,CURACAO
054,COMUNIDADE DOMINICANA
055,REPUBLICA DOMINICANA
056,REPUBLICA DE EL SALVADOR
057,ESTADOS ASSOC. DAS ANTILHAS
058,ILHAS FALKLANDS
059,GRANADA
060,ILHAS GUADALUPE
061,GUATEMALA
062,REPUBLICA DO HAITI
063,HONDURAS BRITANICAS
064,HONDURAS
065,ILHAS SERRANAS
066,JAMAICA
067,ILHAS MALVINAS
068,MARTINICA
069,ILHA MILHOS
070,MONTE SERRAT
071,NICARAGUA
072,PANAMA
073,PANAMA(ZONA DO CANAL)
074,PORTO RICO
075,QUITASUENO
076,RONCADOR
077,SANTA LUCIA
078,SAO CRISTOVAO
079,SAO VICENTE
080,ILHAS TURCA
081,ILHAS VIRGENS BRITANICAS
082,ILHAS VIRGENS AMERICANAS
083,BERMUDAS
084,GROENLANDIA
085,MEXICO
086,ST. PIERRE ET MIQUELON
087,GUIANA FRANCESA
088,REPUBLICA GUIANA
089,PERU
090,SURINAME
091,TRINIDAD E TOBAGO
092,VENEZUELA
093,ALBANIA
094,ANDORRA
095,AUSTRIA
096,BULGARIA
097,CHIPRE
098,DINAMARCA
099,EIRE
100,ESCOCIA
101,ILHAS FAROES
102,FINLANDIA
103,GIBRALTAR
104,GRECIA
105,HOLANDA
106,HUNGRIA
107,ILHAS BALEARES
108,ILHAS COSMOLEDO (LOMORES)
109,ILHAS DO CANAL
110,INGLATERRA
111,IRLANDA DO NORTE
112,IRLANDA
113,ISLANDIA
114,IUGOSLAVIA
115,LIECHTENSTEIN
116,LUXEMBURGO
117,ILHAS DE MAN
118,MONACO
119,NORUEGA
120,REPUBLICA DE MALTA
121,PAIS DE GALES
122,PAISES BAIXOS
123,POLONIA
124,ROMENIA
125,SAN MARINO
126,SUECIA
127,"SVALBARD E JAN MAYER,IS"
128,TCHECOSLOVAQUIA
129,ESTADO DA CIDADE DO VATICANO
130,CROACIA
131,SERVIA
132,ESLOVENIA
133,REPUBLICA DA MACEDONIA
134,BOSNIA HERZEGOVINA
135,REPUBLICA TCHECA
136,ESLOVAQUIA
137,MONTENEGRO
138,AZERBAIJAO
139,BASHKISTA
140,REPUBLICA DA BIELORRUSSIA
141,BURYAT
142,CARELIA
143,CAZAQUISTAO
144,CHECHEN INGUSTH
145,CHUVASH
146,DAGESTA
147,ESTONIA
148,GEORGIA
149,GORNO ALTAI
150,KABARDINO BALKAR
151,KALMIR
152,KARACHAEVOCHERKESS
153,KHAKASS
154,KOMI
155,LETONIA
156,LITUANIA
157,MARI
158,MOLDAVIA
159,OSSETIA SETENTRIONAL
160,QUIRGUISTAO
161,TADJIQUISTAO
162,TARTARIA
163,TURCOMENISTAO
164,TUVIN
165,UCRANIA
166,UDMURT
167,UNIAO SOVIETICA
168,UZBEQUISTAO
169,YAKUT
170,ABISSINIA
171,ACORES
172,AFAR FRANCES
173,REPUBLICA DA AFRICA DO SUL
174,ALTA VOLTA
175,ANGOLA
176,ARGELIA
177,BECHUANALANDIA
178,BENIN
179,BOTSUANA
180,BURUNDI
181,CAMAROES
182,CEUTA E MELILLA
183,CHADE
184,ILHAS COMORES
185,CONGO
186,COSTA DO MARFIM
187,DAOME
188,DJIBUTI
189,REPUBLICA ARABE DO EGITO
190,ETIOPIA
191,REPUBLICA DO GABAO
192,GAMBIA
193,GANA
194,GAZA
195,GUINE
196,GUINE EQUATORIAL
197,IFNI
198,"ASCENSAO E TRISTAO DA CUNHA,IS"
199,ILHAS CANARIAS
200,LESOTO
201,LIBERIA
202,LIBIA
203,MADEIRA
204,MALAWI
205,MADAGASCAR
206,MALI
207,MARROCOS
208,MAURICIO
209,MAURITANIA
210,MOCAMBIQUE
211,NGUANE
212,REPUBLICA DO NIGER
213,NIGERIA
214,PAPUA NOVA GUINE
215,PRACAS NORTE AFRICANAS
216,PROTETOR DO SUDOESTE AFRICANO
217,QUENIA
218,REPUBLICA CENTRO AFRICANA
219,REUNIAO
220,RODESIA (ZIMBABWE)
221,RUANDA
222,SAARA ESPANHOL
223,SANTA HELENA
224,SAO TOME E PRINCIPE
225,SEYCHELLES
