type,value,description
cid,A000,"Cólera devida a Vibrio cholerae 01, biótipo cholerae"
cid,A001,"Cólera devida a Vibrio cholerae 01, biótipo El Tor"
cid,A009,Cólera não especificada
cid,A010,Febre tifóide
cid,A011,Febre paratifóide A
cid,A012,Febre paratifóide B
cid,A013,Febre paratifóide C
cid,A014,Febre paratifóide não especificada
cid,A020,Enterite por salmonela
cid,A021,Septicemia por salmonela
cid,A022,Infecções localizadas por salmonela
cid,A028,Outras infecções especificadas por salmonela
cid,A029,Infecção não especificada por salmonela
cid,A030,Shiguelose devida a Shigella dysenteriae
cid,A031,Shiguelose devida a Shigella flexneri
cid,A032,Shiguelose devida a Shigella boydii
cid,A033,Shiguelose devida a Shigella sonnei
cid,A038,Outras shigueloses
cid,A039,Shiguelose não especificada
cid,A040,Infecção por Escherichia coli enteropatogênica
cid,A041,Infecção por Escherichia coli enterotoxigênica
cid,A042,Infecção por Escherichia coli enteroinvasiva
cid,A043,Infecção por Escherichia coli enterohemorrágica
cid,A044,Outras infecções intestinais por Escherichia coli
cid,A045,Enterite por Campylobacter
cid,A046,Enterite devida a Yersinia enterocolítica
cid,A047,Enterocolite devida a Clostridium difficile
cid,A048,Outras infecções bacterianas intestinais especificadas
cid,A049,Infecção intestinal bacteriana não especificada
cid,A050,Intoxicação alimentar estafilocócica
cid,A051,Botulismo
cid,A052,Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii]
cid,A053,Intoxicação alimentar devida a Vibrio parahemolyticus
cid,A054,Intoxicação alimentar devida a Bacillus cereus
cid,A058,Outras intoxicações alimentares bacterianas especificadas
cid,A059,Intoxicação alimentar bacteriana não especificada
cid,A060,Disenteria amebiana aguda
cid,A061,Amebíase intestinal crônica
cid,A062,Colite amebiana não-disentérica
cid,A063,Ameboma intestinal
cid,A064,Abscesso amebiano do fígado
cid,A065,Abscesso amebiano do pulmão
cid,A066,Abscesso amebiano do cérebro
cid,A067,Amebíase cutânea
cid,A068,Infecção amebiana de outras localizações
cid,A069,Amebíase não especificada
cid,A070,Balantidíase
cid,A071,Giardíase [lamblíase]
cid,A072,Criptosporidiose
cid,A073,Isosporíase
cid,A078,Outras doenças intestinais especificadas por protozoários
cid,A079,Doença intestinal não especificada por protozoários
cid,A080,Enterite por rotavírus
cid,A081,Gastroenteropatia aguda pelo agente de Norwalk
cid,A082,Enterite por adenovírus
cid,A083,Outras enterites virais
cid,A084,Infecção intestinal devida a vírus não especificado
cid,A085,Outras infecções intestinais especificadas
cid,A09,Diarréia e gastroenterite de origem infecciosa presumível
cid,A150,"Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura"
cid,A151,"Tuberculose pulmonar, com confirmação somente por cultura"
cid,A152,"Tuberculose pulmonar, com confirmação histológica"
cid,A153,"Tuberculose pulmonar, com confirmação por meio não especificado"
cid,A154,"Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica"
cid,A155,"Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica"
cid,A156,"Pleuris tuberculoso, com confirmação bacteriológica e histológica"
cid,A157,"Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica"
cid,A158,"Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica"
cid,A159,"Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica"
cid,A160,Tuberculose pulmonar com exames bacteriológico e histológico negativos
cid,A161,"Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico"
cid,A162,"Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica"
cid,A163,"Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica"
cid,A164,"Tuberculose da laringe, da traquéia e dos brônquios, sem menção de confirmação bacteriológica ou histológica"
cid,A165,"Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica"
cid,A167,Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica
cid,A168,"Outras formas de tuberculose das vias respiratórias, sem menção de confirmação bacteriológica ou histológica"
cid,A169,"Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica"
cid,A170,Meningite tuberculosa
cid,A171,Tuberculoma meníngeo
cid,A178,Outras tuberculoses do sistema nervoso
cid,A179,Tuberculose não especificada do sistema nervoso
cid,A180,Tuberculose óssea e das articulações
cid,A181,Tuberculose do aparelho geniturinário
cid,A182,Linfadenopatia tuberculosa periférica
cid,A183,"Tuberculose do intestino, do peritônio e dos gânglios mesentéricos"
cid,A184,Tuberculose de pele e do tecido celular subcutâneo
cid,A185,Tuberculose do olho
cid,A186,Tuberculose do ouvido
cid,A187,Tuberculose das supra-renais
cid,A188,Tuberculose de outros órgãos especificados
cid,A190,Tuberculose miliar aguda de localização única e especificada
cid,A191,Tuberculose miliar aguda de múltiplas localizações
cid,A192,Tuberculose miliar aguda não especificada
cid,A198,Outras tuberculoses miliares
cid,A199,Tuberculose miliar não especificada
cid,A200,Peste bubônica
cid,A201,Peste celulocutânea
cid,A202,Peste pneumônica
cid,A203,Peste meníngea
cid,A207,Peste septicêmica
cid,A208,Outras formas de peste
cid,A209,"Peste, forma não especificada"
cid,A210,Tularemia ulceroglandular
cid,A211,Tularemia oculoglandular
cid,A212,Tularemia pulmonar
cid,A213,Tularemia gastrointestinal
cid,A217,Tularemia generalizada
cid,A218,Outras formas de tularemia
cid,A219,"Tularemia, forma não especificada"
cid,A220,Carbúnculo cutâneo
cid,A221,Carbúnculo pulmonar
cid,A222,Carbúnculo gastrointestinal
cid,A227,Septicemia carbunculosa
cid,A228,Outras formas de carbúnculo
cid,A229,"Carbúnculo, forma não especificada"
cid,A230,Brucelose por Brucella melitensis
cid,A231,Brucelose por Brucella abortus
cid,A232,Brucelose por Brucella suis
cid,A233,Brucelose por Brucella canis
cid,A238,Outras bruceloses
cid,A239,Brucelose não especificada
cid,A240,Mormo
cid,A241,Melioidose aguda e fulminante
cid,A242,Melioidose subaguda e crônica
cid,A243,Outras melioidoses
cid,A244,Melioidose não especificada
cid,A250,Espirilose
cid,A251,Estreptobacilose
cid,A259,"Febre transmitida por mordedura de rato, tipo não especificado"
cid,A260,Erisipelóide cutâneo
cid,A267,Septicemia por Erysipelothrix
cid,A268,Outras formas de erisipelóide
cid,A269,Erisipelóide não especificado
cid,A270,Leptopirose icterohemorrágica
cid,A278,Outras formas de leptospirose
cid,A279,Leptospirose não especificada
cid,A280,Pasteurelose
cid,A281,Doença por arranhadura do gato
cid,A282,Yersiniose extra-intestinal
cid,A288,Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte
cid,A289,Doença bacteriana zoonótica não especificada
cid,A300,Hanseníase [lepra] indeterminada
cid,A301,Hanseníase [lepra] tuberculóide
cid,A302,Hanseníase [lepra] tuberculóide borderline
cid,A303,Hanseníase [lepra] dimorfa
cid,A304,Hanseníase [lepra] lepromatosa borderline
cid,A305,Hanseníase [lepra] lepromatosa
cid,A308,Outras formas de hanseníase [lepra]
cid,A309,Hanseníase [lepra] não especificada
cid,A310,Infecção pulmonar micobacteriana
cid,A311,Infecção cutânea micobacteriana
cid,A318,Outras infecções micobacterianas
cid,A319,Infecção micobacteriana não especificada
cid,A320,Listeriose cutânea
cid,A321,Meningite e meningoencefalite por listéria
cid,A327,Septicemia listeriótica
cid,A328,Outras formas de listeriose
cid,A329,Listeriose não especificada
cid,A33,Tétano do recém-nascido [neonatal]
cid,A34,Tétano obstétrico
cid,A35,Outros tipos de tétano
cid,A360,Difteria faríngea
cid,A361,Difteria nasofaríngea
cid,A362,Difteria laríngea
cid,A363,Difteria cutânea
cid,A368,Outras formas de difteria
cid,A369,Difteria não especificada
cid,A370,Coqueluche por Bordetella pertussis
cid,A371,Coqueluche por Bordetella parapertussis
cid,A378,Coqueluche por outras espécies da Bordetella
cid,A379,Coqueluche não especificada
cid,A38,Escarlatina
cid,A390,Meningite meningocócica
cid,A391,Síndrome de Waterhouse-Friderichsen
cid,A392,Meningococcemia aguda
cid,A393,Meningococcemia crônica
cid,A394,Meningococcemia não especificada
cid,A395,Cardite por meningococos
cid,A398,Outras infecções por meningococos
cid,A399,Infecção meningocócica não especificada
cid,A400,Septicemia por Streptococcus do grupo A
cid,A401,Septicemia por Streptococcus do grupo B
cid,A402,Septicemia por Streptococcus do grupo D
cid,A403,Septicemia por Streptococcus pneumonia
cid,A408,Outras septicemias estreptocócicas
cid,A409,Septicemia estreptocócica não especificada
cid,A410,Septicemia por Staphylococcus aureus
cid,A411,Septicemia por outros estafilococos especificados
cid,A412,Septicemia por estafilococos não especificados
cid,A413,Septicemia por Haemophilus influenzae
cid,A414,Septicemia por anaeróbios
cid,A415,Septicemia por outros microorganismos gram-negativos
cid,A418,Outras septicemias especificadas
cid,A419,Septicemia não especificada
cid,A420,Actinomicose pulmonar
cid,A421,Actinomicose abdominal
cid,A422,Actinomicose cervicofacial
cid,A427,Septicemia actinomicótica
cid,A428,Outras formas de actinomicose
cid,A429,Actinomicose não especificada
cid,A430,Nocardiose pulmonar
cid,A431,Nocardiose cutânea
cid,A438,Outras formas de nocardiose
cid,A439,Nocardiose não especificada
cid,A440,Bartonelose sistêmica
cid,A441,Bartonelose cutânea e cutâneo-mucosa
cid,A448,Outras formas de bartonelose
cid,A449,Bartonelose não especificada
cid,A46,Erisipela
cid,A480,Gangrena gasosa
cid,A481,Doença dos legionários
cid,A482,Doença dos legionários não-pneumônica [febre de Pontiac]
cid,A483,Síndrome do choque tóxico
cid,A484,Febre purpúrica do Brasil
cid,A488,Outras doenças bacterianas especificadas
cid,A490,Infecção estafilocócica de localização não especificada
cid,A491,Infecção estreptocócica de localização não especificada
cid,A492,Infecção por Haemophilus influenzae de localização não especificada
cid,A493,Infecção por Mycoplasma de localização não especificada
cid,A498,Outras infecções bacterianas de localização não especificada
cid,A499,Infecção bacteriana não especificada
cid,A500,Sífilis congênita precoce sintomática
cid,A501,"Sífilis congênita precoce, forma latente"
cid,A502,Sífilis congênita precoce não especificada
cid,A503,Oculopatia sifilítica congênita tardia
cid,A504,Neurossífilis congênita tardia [neurossífilis juvenil]
cid,A505,Outras formas tardias e sintomáticas da sífilis congênita
cid,A506,Sífilis congênita tardia latente
cid,A507,Sífilis congênita tardia não especificada
cid,A509,Sífilis congênita não especificada
cid,A510,Sífilis genital primária
cid,A511,Sífilis anal primária
cid,A512,Sífilis primária de outras localizações
cid,A513,Sífilis secundária da pele e das mucosas
cid,A514,Outras formas de sífilis secundária
cid,A515,Sífilis precoce latente
cid,A519,Sífilis precoce não especificada
cid,A520,Sífilis cardiovascular
cid,A521,Neurossífilis sintomática
cid,A522,Neurossífilis assintomática
cid,A523,Neurossífilis não especificada
cid,A527,Outras formas de sífilis tardia sintomática
cid,A528,Sífilis tardia latente
cid,A529,Sífilis tardia não especificada
cid,A530,"Sífilis latente, não especificada se recente ou tardia"
cid,A539,Sífilis não especificada
cid,A540,"Infecção gonocócica do trato geniturinário inferior, sem abscesso periuretral ou das glândulas acessórias"
cid,A541,"Infecção gonocócica do trato geniturinário inferior, com abscesso periuretral ou das glândulas acessórias"
cid,A542,Pelviperitonite gonocócica e outras infecções geniturinárias gonocócicas
cid,A543,Infecção gonocócica do olho
cid,A544,Infecção gonocócica do sistema músculo-esquelético
cid,A545,Faringite gonocócica
cid,A546,Infecção gonocócica do ânus ou do reto
cid,A548,Outras infecções gonocócicas
cid,A549,Infecção gonocócica não especificada
cid,A55,Linfogranuloma (venéreo) por clamídia
cid,A560,Infecções por clamídias do trato geniturinário inferior
cid,A561,"Infecção por clamídias, pelviperitonial e de outros órgãos geniturinários"
cid,A562,"Infecção por clamídias do trato geniturinário, localização não especificada"
cid,A563,Infecção do ânus e do reto por clamídias
cid,A564,Infecção da faringe por clamídias
cid,A568,"Infecção por clamídias transmitida por via sexual, de outras localizações"
cid,A57,Cancro mole
cid,A58,Granuloma inguinal
cid,A590,Tricomoníase urogenital
cid,A598,Outras localizações de tricomoníase
cid,A599,Tricomoníase não especificada
cid,A600,Infecção dos órgãos genitais e do trato geniturinário pelo vírus do herpes
cid,A601,Infecção da margem cutânea do ânus e do reto pelo vírus do herpes
cid,A609,Infecção anogenital não especificada pelo vírus do herpes
cid,A630,Verrugas anogenitais (venéreas)
cid,A638,Outras doenças especificadas de transmissão predominantemente sexual
cid,A64,"Doenças sexualmente transmitidas, não especificadas"
cid,A65,Sífilis não-venérea
cid,A660,Lesões iniciais da bouba
cid,A661,Papilomas múltiplos e bouba plantar úmida (cravo de bouba)
cid,A662,Outras lesões cutâneas precoces da bouba
cid,A663,Hiperceratose devida a bouba
cid,A664,Gomas e úlceras devidas à bouba
cid,A665,Gangosa
cid,A666,Lesões osteoarticulares devidas à bouba
cid,A667,Outras manifestações da bouba
cid,A668,Bouba latente
cid,A669,Bouba não especificada
cid,A670,Lesões primárias da pinta
cid,A671,Lesões intermediárias da pinta
cid,A672,Lesões tardias da pinta
cid,A673,Lesões mistas da pinta
cid,A679,Pinta não especificada
cid,A680,Febre recorrente transmitida por piolhos
cid,A681,Febre recorrente transmitida por carrapatos
cid,A689,Febre recorrente não especificada
cid,A690,Estomatite ulcerativa necrotizante
cid,A691,Outras infecções de Vincent
cid,A692,Doença de Lyme
cid,A698,Outras infecções especificadas por espiroquetas
cid,A699,"Infecção por espiroqueta, não especificada"
cid,A70,Infecções causadas por Clamídia psittaci
cid,A710,Fase inicial do tracoma
cid,A711,Fase ativa do tracoma
cid,A719,Tracoma não especificado
cid,A740,Conjuntivite causada por clamídias
cid,A748,Outras doenças causadas por clamídias
cid,A749,Infecção causada por clamídias não especificada
cid,A750,Tifo epidêmico transmitido por piolhos devido a Rickettsia prowazekii
cid,A751,Tifo recrudescente [doença de Brill]
cid,A752,Tifo por Rickettsia typhi
cid,A753,Tifo por Rickettsia tsutsugamuchi
cid,A759,Tifo não especificado
cid,A770,Febre maculosa por Rickettsia richettsii
cid,A771,Febre maculosa por Rickettsia conorii
cid,A772,Febre maculosa devida à Rickettsia siberica
cid,A773,Febre maculosa devida à Rickettsia australis
cid,A778,Outras febres maculosas
cid,A779,Febre maculosa não especificada
cid,A78,Febre Q
cid,A790,Febre das trincheiras
cid,A791,Rickettsiose variceliforme devida à Rickettsia akari
cid,A798,Outros tipos de rickettsioses especificadas
cid,A799,Rickettsiose não especificada
cid,A800,"Poliomielite paralítica aguda, associada ao vírus vacinal"
cid,A801,"Poliomielite paralítica aguda, vírus selvagem importado"
cid,A802,"Poliomielite paralítica aguda, vírus selvagem indígena"
cid,A803,"Poliomielites paralíticas agudas, outras e não especificadas"
cid,A804,Poliomielite aguda não-paralítica
cid,A809,Poliomielite aguda não especificada
cid,A810,Doença de Creutzfeldt-Jakob
cid,A811,Panencefalite esclerosante subaguda
cid,A812,Leucoencefalopatia multifocal progressiva
cid,A818,Outras infecções por vírus atípicos do sistema nervoso central
cid,A819,Infecção não especificada do sistema nervosos central por vírus atípicos
cid,A820,Raiva silvestre
cid,A821,Raiva urbana
cid,A829,Raiva não especificada
cid,A830,Encefalite japonesa
cid,A831,Encefalite eqüina ocidental
cid,A832,Encefalite eqüina oriental
cid,A833,Encefalite de St. Louis
cid,A834,Encefalite australiana
cid,A835,Encefalite da Califórnia
cid,A836,Doença pelo vírus de Rocio
cid,A838,Outras encefalites por vírus transmitidas por mosquitos
cid,A839,Encefalite não especificada por vírus transmitida por mosquitos
cid,A840,Encefalite da taiga [encefalite vernoestival russa]
cid,A841,Encefalite da Europa Central transmitida por carrapatos
cid,A848,Outras encefalites por vírus transmitidas por carrapatos
cid,A849,Encefalite não especificada por vírus transmitida por carrapatos
cid,A850,Encefalite por enterovírus
cid,A851,Encefalite por adenovírus
cid,A852,"Encefalite por vírus transmitido por artrópodes, não especificada"
cid,A858,Outras encefalites virais especificadas
cid,A86,"Encefalite viral, não especificada"
cid,A870,Meningite por enterovírus
cid,A871,Meningite por adenovírus
cid,A872,Coriomeningite linfocitária
cid,A878,Outras meningites virais
cid,A879,Meningite viral não especificada
cid,A880,Febre exantemática por enterovírus [exantema de Boston]
cid,A881,Vertigem epidêmica
cid,A888,Outras infecções virais especificadas do sistema nervoso central
cid,A89,Infecções virais não especificadas do sistema nervoso central
cid,A90,Dengue [dengue clássico]
cid,A91,Febre hemorrágica devida ao vírus do dengue
cid,A920,Febre de Chikungunya
cid,A921,Febre de O'nyong-nyong
cid,A922,Febre eqüina venezuelana
cid,A923,Infecção pelo vírus West Nile
cid,A924,Febre do vale do Rift
cid,A928,Outras febres virais especificadas transmitidas por mosquitos
cid,A929,"Febre viral transmitida por mosquitos, não especificada"
cid,A930,Febre de Oropouche
cid,A931,Febre por flebótomos
cid,A932,Febre do Colorado transmitida por carrapatos
cid,A938,Outras febres virais especificadas transmitidas por artrópodes
cid,A94,"Febre viral transmitida por artrópodes, não especificada"
cid,A950,Febre amarela silvestre
cid,A951,Febre amarela urbana
cid,A959,Febre amarela não especificada
cid,A960,Febre hemorrágica de Junin
cid,A961,Febre hemorrágica de Machupo
cid,A962,Febre de Lassa
cid,A968,Outras febres hemorrágicas por arenavírus
cid,A969,"Febre hemorrágica por arenavírus, não especificada"
cid,A980,Febre hemorrágica da Criméia (do Congo)
cid,A981,Febre hemorrágica de Omsk
cid,A982,Doença da floresta de Kyasanur
cid,A983,Doença de Marburg
cid,A984,Doença pelo vírus Ebola
cid,A985,Febre hemorrágica com síndrome renal
cid,A988,Outras febres hemorrágicas especificadas por vírus
cid,A99,Febres hemorrágicas virais não especificadas
cid,B000,Eczema herpético
